Id;EntityCreatedAt;EntityModifiedAt;ActionTaskID;Status;Year;Month;Day;DateTime;AreaName;UpdateTime;ActualGenerationOutput;ActualConsuption;AreaTypeCodeId;AreaCodeId;ResolutionCodeId;MapCodeId;ProductionTypeId;RowHash
831867509;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T22:00:00.000Z;Greece;2018-01-08T01:49:01.000Z;2166;0;3;56280;2;23;7;41581C15-7A2224F9-E586767A-FD59B201-C3EEFACD-AEC7EEE5-1965A578-5576CE82-D546DF52-7E17FC05-A7A263F8-7F998523-5EC2EA5B-D4B7592F-D330CE10-FE3BC9EA
831867498;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T23:00:00.000Z;Greece;2018-01-08T01:49:00.000Z;0;0;3;56280;2;23;17;7EBCD863-493A1517-1B5F8010-1F7708DD-42673539-A485693D-12ED2C64-5E9B50E6-65C4752B-59B61DE0-1F285EF2-7D511E91-A6A64052-8375BA51-45A8FDB6-E7FAB0A6
831867473;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T23:00:00.000Z;Greece;2018-01-08T01:49:00.000Z;170;0;3;56280;2;23;12;0139EFCB-E63C9998-0364F778-52C6064D-4F96D1BF-34A15F7B-F5590400-E260CB5A-E8F5EC98-015B6B45-9EED96F3-B1D6B33B-6B0937B3-BEF03C6A-38DC44A7-E1AB70A3
831865477;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T18:00:00.000Z;Greece;2018-01-01T21:48:55.000Z;1655;0;3;56280;2;23;1;90A6C673-25AD11A5-0DB03B6C-A1303BF5-F37A9E39-49BADA35-AC5AC2D6-CD33316D-9AD45226-0C9E6640-69FF2BBA-68DA12C8-68CA0895-88D48A89-E1EE74E5-C6D769CB
831865476;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T18:00:00.000Z;Greece;2018-01-01T21:48:55.000Z;1660;0;3;56280;2;23;7;88A88DBB-7473CDAB-2264D5B8-D44E9835-E51F6146-DB423B86-A50D42E2-F9B8C7AE-0CCCB0E2-185E8E16-EB903F49-BC809364-EE89B668-B0790CB8-A8899E3F-2A4FAAAB
831865474;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T18:00:00.000Z;Greece;2018-01-01T21:48:54.000Z;0;0;3;56280;2;23;8;E8270877-826667E0-0BF16508-96436D27-25E25A78-9CA4992E-820A2A37-7C727769-6821CFB8-ADE3C117-13F720ED-BC0FDC39-B3912949-46D24B09-62C326B4-375033FA
831865422;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T19:00:00.000Z;Greece;2018-01-01T21:48:54.000Z;0;0;3;56280;2;23;17;E109D218-7D80300F-768F62CC-506BCAF4-F8635ECF-1806378F-6EEEA431-BD9BF558-AF6DAACA-B1BE5514-50EBD0B3-8118EC3E-915E4361-7BFD5985-4D93E0BA-9A096D5A
831865420;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T19:00:00.000Z;Greece;2018-02-01T17:08:16.000Z;740;0;3;56280;2;23;12;B9E56058-374960F1-875483EF-5AD8AD91-792A3BF0-776566ED-0B554D8F-F9D218A1-2DCFC873-D52E26C5-2D35F8E3-CEAD5B93-C7E22E5B-90B00E4C-241BA0EE-F55AEC29
831861539;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T17:00:00.000Z;Greece;2018-01-01T20:48:37.000Z;1642;0;3;56280;2;23;7;A8401912-5E3700C0-9B8E3760-522535F3-4B710692-A1290316-EAFD8DEC-935EDA7D-F2106C56-1282C05F-5D032B78-3945FD29-EADB1127-2167CC2B-ACD90787-CD3256D7
831861518;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T21:00:00.000Z;Greece;2018-01-08T00:49:00.000Z;0;0;3;56280;2;23;8;0748E574-98453226-546F4CE6-01745830-9F193245-C8A86C29-844F072D-A587AAC3-7A5A77C4-34A2C87A-2F5B66F7-8BA2AD67-F1717BA6-D2CE07CA-E3BD98E1-73C216B8
